pre_observations,pre_slope_per_day,naive_gain_3d,counterfactual_gain_3d,effect_day7,effect_day14,effect_day30,retention_day30,event_id,device,event_date,maintenance_type
21,-0.2478139441952227,28.42562870735337,30.416346122085937,30.66478566190913,30.570624260816572,32.451510232588035,1.0669102101328445,103,A8,2024-10-31,中维护
21,-0.30522768161811104,3.1629502350039473,2.8041439488402418,1.6461165536162838,-0.8404738224666858,-3.016355839289176,-1.0756779588782175,104,A8,2025-01-03,中维护
17,-0.4276109606416284,28.89577306534322,29.170336968859615,27.485350568695274,25.833236950649603,25.33007756357673,0.8683505298762061,105,A8,2025-02-13,中维护
21,-0.48066412902442973,11.891506515792301,13.807689806937125,14.440402612998417,15.000077545373637,16.741820552518988,1.2124997582222425,106,A8,2025-03-27,中维护
19,-0.3865163400696393,21.38745643552825,23.722934037813918,23.80585459690893,22.53074133781162,23.159572417208352,0.9762524475384209,107,A8,2025-05-13,中维护
21,-0.30484360465164373,3.6719002845299826,5.518967766239214,5.390584262954709,5.42590971584242,4.693136916274259,0.8503649803833334,108,A8,2025-07-06,中维护
21,-0.24720730611994618,2.9269285739405717,2.7050112661167893,2.719535976270399,2.7949142751326916,0.5185335028474398,0.19169365737682367,109,A8,2025-09-08,中维护
21,-0.3090797663504782,26.060686101781116,28.14615901982513,29.151618310543846,28.946569167831985,30.61036729188998,1.0875504281180657,110,A8,2025-11-03,中维护
21,-0.3292171893302197,9.762500475921158,11.277701673599935,10.599650951537935,7.9585826189464886,2.444496703518194,0.2167548649775456,111,A8,2025-12-28,中维护
20,-0.5460309544705733,16.174797991103944,18.494024533475297,17.099277401880776,15.800262695359972,14.6434974669031,0.7917961523408541,112,A8,2026-02-09,中维护
21,-0.4003483058933853,18.59106416123344,20.255120852058266,19.895210660104404,,,,113,A8,2026-03-31,中维护
15,-0.39604022891659596,25.003463882010905,26.06281712986273,26.691473582089095,26.7847983564578,27.71720055949905,1.0634767692760554,114,A9,2024-05-30,中维护
21,-0.23674103946070363,8.428756076945533,8.728935272150812,10.26099059368243,10.993988912778187,13.185188911144156,1.510515143033627,115,A9,2024-08-02,中维护
21,-0.2669888136326011,18.519443835696052,19.694637926692163,19.898599259774784,19.830313746463418,21.167167191465836,1.0747680292602868,116,A9,2024-10-15,中维护
21,-0.26487745461256806,8.81478613861485,9.402570494831116,7.410803673055289,5.626290755377093,1.1007896423629298,0.11707326661023897,117,A9,2024-12-15,中维护
20,-0.7585271540203617,,,33.90690792358818,33.40859987815112,34.996891434519455,,118,A9,2025-01-31,中维护
21,-0.3820926111190581,16.398013262923172,18.099938950159252,17.432972018956868,17.326458351229082,16.841487167886037,0.9304720427102797,119,A9,2025-03-19,中维护
20,-0.389183540422038,15.499478282895396,16.876644646982623,16.45584353762239,16.186792750960436,16.976207287780444,1.0058994333814821,120,A9,2025-05-15,大维护
21,-0.4602010934239883,16.999492625260423,18.80039553838844,19.245235098731825,20.527839201508527,24.11456301857882,1.2826625359737462,121,A9,2025-07-09,中维护
20,-0.3879315622268263,24.181871752904485,24.81793719370887,23.583685276488687,23.04375343747632,24.173164771410434,0.974019902731405,122,A9,2025-09-12,中维护
21,-0.19475276880087516,20.366080585953497,21.295591629359574,21.00106003496551,19.63326455366152,17.1410594089845,0.8049111622403883,123,A9,2025-11-16,中维护
21,-0.5288998289718937,10.61229775790406,11.921634480069315,12.818240355805937,13.766227186156613,13.738165366737217,1.152372637301101,124,A9,2026-01-09,中维护
21,-0.6728465408212778,27.783060965702283,30.567816661700352,31.503576098844256,33.96306931835584,39.73293963047787,1.2998291657598455,125,A9,2026-02-23,中维护
20,-0.34675534919994344,18.164388439901515,18.86174521956559,18.335740161153957,,,,126,A9,2026-04-01,大维护
